imsimccmnc,nwmccmnc,year,month,num_samples,max_dl_mbps,min_dl_mbps,mean_dl_mbps,max_ul_mbps,min_ul_mbps,mean_ul_mbps,max_rtt_ms,min_rtt_ms,mean_rtt_ms
24202,24202,2017,9,1856,131.939539269,0.211223824,28.196844509757558,47.321141303999994,0.024296942999999998,13.28343929631416,171.7288,13.6025,34.33458111
24214,24214,2017,9,1720,93.220474846,0.059097798,21.78066239089242,43.734684405,0.013363294,10.586882373486759,203.5309,13.4952,33.34209835
24201,24201,2017,9,1696,143.023647044,0.106407072,33.21428824426474,47.0206724,0.039080712,12.178199389738634,397.1388,14.6417,36.95715603
24001,24001,2017,9,1176,177.013719829,0.410540778,48.76161561435459,48.410965166000004,0.213918284,18.065845197995735,451.8410,19.7202,41.06354202
24008,24008,2017,9,962,105.411028691,1.077076356,28.081852525886642,45.043765716,0.15333976000000002,9.113861710747896,789.3595,18.7862,57.63563693
24002,24002,2017,9,874,126.52079226699999,0.271667258,44.216515259752875,38.302971531000004,0.101460762,10.374432377027661,221.5321,19.2922,49.17782729
24001,24202,2017,9,403,107.239988669,0.32808858199999996,20.50836839839454,42.863993616,0.140873381,12.477752206150528,1515.6803,17.9944,65.65792865
24002,24004,2017,9,315,83.13789275100001,0.37837455799999997,12.471191333377783,41.275621068,0.04828958,2.662053596549646,617.4524,30.6850,69.37017902
24008,24004,2017,9,144,30.327581069,0.978961759,13.749887577388884,4.224019838,0.193077955,2.642578083444444,291.0050,34.1528,73.42222178
NULL,NULL,2017,9,13,15.435134796,0.5182014540000001,6.149054128538461,15.17204458,2.283132172,6.725943670923078,1834.1934,27.5500,317.30441562
24201,NULL,2017,9,5,14.97844608,0.598102254,8.1416457974,17.550284223,5.771673192000001,13.735697923399998,54.8154,23.0812,35.79378940
24201,24008,2017,9,3,41.25088022,19.344388263,28.061132841333336,11.206727081,4.721268574,7.643173393666667,64.6753,49.8331,54.79700467
24001,24004,2017,9,1,44.143451859,44.143451859,44.143451859,6.535322559,6.535322559,6.535322559,40.3164,40.3164,40.31640000
24214,NULL,2017,9,1,12.183811938000002,12.183811938000002,12.183811938000002,2.2285496659999997,2.2285496659999997,2.2285496659999997,42.2866,42.2866,42.28664500
24202,24202,2017,10,589,140.79731905876676,0.065726592,25.098989901053997,44.007403396,0.11896874032319646,12.014694384094948,90.8386,13.2355,34.80090490
24201,24201,2017,10,533,132.09474420127145,0.4886940294094477,32.399090935708614,44.45299576479865,0.04363718,13.323781615284831,164.9862,15.5725,36.61527847
24214,24214,2017,10,509,85.369906126,0.062132622613384085,21.623550621740407,43.497927909,0.014221508,9.641690656053813,623.6657,13.7137,32.81852385
24002,24002,2017,10,397,135.00703734,0.42828867400000004,37.93370166975328,47.20965108571973,0.025526029999999998,8.757175016720783,197.4790,18.7161,50.18871466
24008,24008,2017,10,288,111.92570214700001,0.8232143479999999,34.405604903296855,44.95172179262691,0.016115992,12.140335366537581,166.8024,23.6632,51.34381581
24001,24001,2017,10,268,174.08508876885827,0.46554626175380026,68.67711594852315,48.284531184536384,0.15010066905000183,21.059140725522646,167.6881,18.6178,39.21718072
24001,24202,2017,10,120,64.818137747,0.43684972099999997,22.978156763704494,35.614070580863626,0.108781042,12.429766561505355,119.7691,19.5168,57.81606905
24201,24008,2017,10,5,85.02992663838164,1.8461729941093497,39.60080502849819,22.57322234062349,0.6847669397436461,10.48524138547343,47.8932,36.8540,40.40837460
NULL,NULL,2017,10,5,8.806105257999999,0.265236712,3.1863781638,11.581497533,3.011622552,6.5611487668,132.0476,29.9632,72.08952460
24001,24002,2017,10,1,43.243396359,43.243396359,43.243396359,11.270345101999999,11.270345101999999,11.270345101999999,51.7994,51.7994,51.79939200
24002,24004,2017,10,1,1.858759519,1.858759519,1.858759519,0.29345327400000004,0.29345327400000004,0.29345327400000004,135.6633,135.6633,135.66334300
24201,24201,2017,11,1256,148.3754521768461,0.14266822550373218,35.05692675670855,46.86131711396783,0.07444885707421761,13.696908535810701,347.8349,15.0080,39.02802194
24202,24202,2017,11,1170,115.6267413034557,0.06249299658691138,22.636448506571977,46.48039705283304,0.01667868628280527,11.910996263601003,375.2254,15.1458,34.72270666
24008,24008,2017,11,951,102.79492065331044,0.5195574259171903,23.506107289957722,44.481684455912195,0.03735197337982693,11.418786488497794,412.7020,21.5545,58.09358786
24002,24002,2017,11,894,119.86417774545473,0.26607740728791274,30.392277867599653,22.851965691886836,0.042643033418991644,7.348697332381125,1102.0329,19.7846,53.21580929
24001,24001,2017,11,863,182.32971903991458,0.3067643050953573,61.69128815048733,47.944274976573546,0.15598929024786898,19.35140034438171,859.1326,19.9214,39.91728073
24214,24214,2017,11,729,78.97365179735843,0.05956764995753466,20.29813714362233,43.20238531670228,0.01401866572374411,12.762000480115733,509.6166,13.4566,31.92297911
24001,24202,2017,11,421,61.48862678637448,0.27363964140501934,13.3340170730214,38.76726653070817,0.09524425844830443,8.30956887827509,350.8865,33.6478,57.77127219
24201,24008,2017,11,6,32.568024700496366,3.3400121840039008,18.08134869052751,10.93666874787377,0.2379648156460732,7.779589183839676,73.9813,40.7148,59.36848933
24002,24201,2017,11,1,1.0224643658010095,1.0224643658010095,1.0224643658010095,0.08650772759276873,0.08650772759276873,0.08650772759276873,127.9856,127.9856,127.98555800
24214,24202,2017,11,1,3.290200687260684,3.290200687260684,3.290200687260684,3.457080227690228,3.457080227690228,3.457080227690228,41.0326,41.0326,41.03255400
